# format_version: 1
# kind	id	iri	label	aliases	parents	ontology	role	component_family	sequence_family	table1	table2
term	CHEBI:133895	https://identifiers.org/CHEBI:133895	EC 2.5.1.46 (deoxyhypusine synthase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_133895	CHEBI:76663	CHEBI	feature_role	-	-	false	false
term	CHEBI:134083	https://identifiers.org/CHEBI:134083	hypoxia-inducible factor pathway activator	http://purl.obolibrary.org/obo/CHEBI_134083	CHEBI:195251	CHEBI	feature_role	-	-	false	false
term	CHEBI:134084	https://identifiers.org/CHEBI:134084	EC 1.15.1.1 (superoxide dismutase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_134084	CHEBI:76742	CHEBI	feature_role	-	-	false	false
term	CHEBI:134108	https://identifiers.org/CHEBI:134108	lipopolysaccharide biosynthesis inhibitor	http://purl.obolibrary.org/obo/CHEBI_134108	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:134109	https://identifiers.org/CHEBI:134109	EC 3.5.1.108 (UDP-3-O-acyl-N-acetylglucosamine deacetylase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_134109	CHEBI:76807	CHEBI	feature_role	-	-	false	false
term	CHEBI:134173	https://identifiers.org/CHEBI:134173	antidote to barbiturate poisoning	http://purl.obolibrary.org/obo/CHEBI_134173	CHEBI:50247	CHEBI	feature_role	-	-	false	false
term	CHEBI:134182	https://identifiers.org/CHEBI:134182	platelet-activating factor receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_134182	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:134545	https://identifiers.org/CHEBI:134545	EC 1.8.1.4 (dihydrolipoyl dehydrogenase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_134545	CHEBI:77402	CHEBI	feature_role	-	-	false	false
term	CHEBI:136537	https://identifiers.org/CHEBI:136537	EC 2.4.2.8 (hypoxanthine phosphoribosyltransferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_136537	CHEBI:76790	CHEBI	feature_role	-	-	false	false
term	CHEBI:136558	https://identifiers.org/CHEBI:136558	EC 1.11.1.7 (peroxidase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_136558	CHEBI:75381	CHEBI	feature_role	-	-	false	false
term	CHEBI:136580	https://identifiers.org/CHEBI:136580	LRH-1 antagonist	http://purl.obolibrary.org/obo/CHEBI_136580	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:136643	https://identifiers.org/CHEBI:136643	propesticide	http://purl.obolibrary.org/obo/CHEBI_136643	CHEBI:136859|CHEBI:25944	CHEBI	feature_role	-	-	false	false
term	CHEBI:136644	https://identifiers.org/CHEBI:136644	proinsecticide	http://purl.obolibrary.org/obo/CHEBI_136644	CHEBI:136643|CHEBI:24852	CHEBI	feature_role	-	-	false	false
term	CHEBI:136645	https://identifiers.org/CHEBI:136645	profungicide	http://purl.obolibrary.org/obo/CHEBI_136645	CHEBI:136643|CHEBI:24127	CHEBI	feature_role	-	-	false	false
term	CHEBI:136646	https://identifiers.org/CHEBI:136646	proherbicide	http://purl.obolibrary.org/obo/CHEBI_136646	CHEBI:136643|CHEBI:24527	CHEBI	feature_role	-	-	false	false
term	CHEBI:136647	https://identifiers.org/CHEBI:136647	proacaricide	http://purl.obolibrary.org/obo/CHEBI_136647	CHEBI:136643|CHEBI:22153	CHEBI	feature_role	-	-	false	false
term	CHEBI:136648	https://identifiers.org/CHEBI:136648	prosafener	http://purl.obolibrary.org/obo/CHEBI_136648	CHEBI:132272|CHEBI:136643	CHEBI	feature_role	-	-	false	false
term	CHEBI:136651	https://identifiers.org/CHEBI:136651	S100 calcium-binding protein B inhibitor	http://purl.obolibrary.org/obo/CHEBI_136651	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:136859	https://identifiers.org/CHEBI:136859	pro-agent	http://purl.obolibrary.org/obo/CHEBI_136859	CHEBI:33232	CHEBI	feature_role	-	-	false	false
term	CHEBI:136860	https://identifiers.org/CHEBI:136860	antidote to sarin poisoning	http://purl.obolibrary.org/obo/CHEBI_136860	CHEBI:50247	CHEBI	feature_role	-	-	false	false
term	CHEBI:136984	https://identifiers.org/CHEBI:136984	EC 4.4.1.14 (1-aminocyclopropane-1-carboxylate synthase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_136984	CHEBI:76831	CHEBI	feature_role	-	-	false	false
term	CHEBI:137079	https://identifiers.org/CHEBI:137079	eukaryotic initiation factor 4F inhibitor	http://purl.obolibrary.org/obo/CHEBI_137079	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:137114	https://identifiers.org/CHEBI:137114	bromodomain-containing protein 4 inhibitor	http://purl.obolibrary.org/obo/CHEBI_137114	CHEBI:231729	CHEBI	feature_role	-	-	false	false
term	CHEBI:137123	https://identifiers.org/CHEBI:137123	EC 2.7.11.30 (receptor protein serine/threonine kinase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_137123	CHEBI:76812	CHEBI	feature_role	-	-	false	false
term	CHEBI:137401	https://identifiers.org/CHEBI:137401	capsaicin receptor agonist	http://purl.obolibrary.org/obo/CHEBI_137401	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:137431	https://identifiers.org/CHEBI:137431	antihypotensive agent	http://purl.obolibrary.org/obo/CHEBI_137431	CHEBI:35554	CHEBI	feature_role	-	-	false	false
term	CHEBI:137514	https://identifiers.org/CHEBI:137514	TRPA1 channel agonist	http://purl.obolibrary.org/obo/CHEBI_137514	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:137566	https://identifiers.org/CHEBI:137566	EC 2.5.1.48 (cystathionine gamma-synthase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_137566	CHEBI:76663	CHEBI	feature_role	-	-	false	false
term	CHEBI:137626	https://identifiers.org/CHEBI:137626	EC 1.1.1.146 (11beta-hydroxysteroid dehydrogenase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_137626	CHEBI:76835	CHEBI	feature_role	-	-	false	false
term	CHEBI:137684	https://identifiers.org/CHEBI:137684	Papio hamadryas metabolite	http://purl.obolibrary.org/obo/CHEBI_137684	CHEBI:75768	CHEBI	feature_role	-	-	false	false
term	CHEBI:137736	https://identifiers.org/CHEBI:137736	anxiogenic	http://purl.obolibrary.org/obo/CHEBI_137736	CHEBI:35471	CHEBI	feature_role	-	-	false	false
term	CHEBI:138014	https://identifiers.org/CHEBI:138014	EC 3.4.22.56 (caspase-3) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138014	CHEBI:76796	CHEBI	feature_role	-	-	false	false
term	CHEBI:138015	https://identifiers.org/CHEBI:138015	endocrine disruptor	http://purl.obolibrary.org/obo/CHEBI_138015	CHEBI:51061	CHEBI	feature_role	-	-	false	false
term	CHEBI:138090	https://identifiers.org/CHEBI:138090	ATPase motor cytoplasmic dynein inhibitor	http://purl.obolibrary.org/obo/CHEBI_138090	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:138103	https://identifiers.org/CHEBI:138103	inorganic acid	http://purl.obolibrary.org/obo/CHEBI_138103	CHEBI:39141	CHEBI	feature_role	-	-	false	false
term	CHEBI:138168	https://identifiers.org/CHEBI:138168	neuropeptide Y2 receptor agonist	http://purl.obolibrary.org/obo/CHEBI_138168	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:138208	https://identifiers.org/CHEBI:138208	carotenoid biosynthesis inhibitor	http://purl.obolibrary.org/obo/CHEBI_138208	CHEBI:76932	CHEBI	feature_role	-	-	false	false
term	CHEBI:138380	https://identifiers.org/CHEBI:138380	RhoA inhibitor	http://purl.obolibrary.org/obo/CHEBI_138380	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:138381	https://identifiers.org/CHEBI:138381	RhoC inhibitor	http://purl.obolibrary.org/obo/CHEBI_138381	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:138390	https://identifiers.org/CHEBI:138390	EC 1.1.1.159 (7alpha-hydroxysteroid dehydrogenase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138390	CHEBI:76835	CHEBI	feature_role	-	-	false	false
term	CHEBI:138416	https://identifiers.org/CHEBI:138416	angiotensin receptor agonist	http://purl.obolibrary.org/obo/CHEBI_138416	CHEBI:51060	CHEBI	feature_role	-	-	false	false
term	CHEBI:138880	https://identifiers.org/CHEBI:138880	autophagy inducer	http://purl.obolibrary.org/obo/CHEBI_138880	CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:138887	https://identifiers.org/CHEBI:138887	prostaglandin receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_138887	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:138920	https://identifiers.org/CHEBI:138920	EC 6.3.5.* (carbon-nitrogen ligases with glutamine as amido-N-donor) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138920	CHEBI:75600	CHEBI	feature_role	-	-	false	false
term	CHEBI:138921	https://identifiers.org/CHEBI:138921	EC 6.3.5.5 [carbamoyl-phosphate synthase (glutamine-hydrolysing)] inhibitor	http://purl.obolibrary.org/obo/CHEBI_138921	CHEBI:138920	CHEBI	feature_role	-	-	false	false
term	CHEBI:138924	https://identifiers.org/CHEBI:138924	EC 6.3.4.* (other carbon--nitrogen ligases) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138924	CHEBI:75600	CHEBI	feature_role	-	-	false	false
term	CHEBI:138925	https://identifiers.org/CHEBI:138925	EC 6.3.4.2 [CTP synthase (glutamine hydrolyzing)] inhibitor	http://purl.obolibrary.org/obo/CHEBI_138925	CHEBI:138924	CHEBI	feature_role	-	-	false	false
term	CHEBI:138927	https://identifiers.org/CHEBI:138927	EC 6.3.5.3 (phosphoribosylformylglycinamidine synthase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_138927	CHEBI:138920	CHEBI	feature_role	-	-	false	false
term	CHEBI:138928	https://identifiers.org/CHEBI:138928	EC 6.3.5.2 [GMP synthase (glutamine-hydrolysing)] inhibitor	http://purl.obolibrary.org/obo/CHEBI_138928	CHEBI:138920	CHEBI	feature_role	-	-	false	false
